uid,fold,label,failure_class,tau,score_A,score_B,alarm_step_A,alarm_step_B,raw_score_A,raw_score_B,task_group
ollama_llama8b/real-healthy-058,0,0,,,-1.596828847482217,-0.9646171860942528,,,354832.01664731017,9.462219582697553,"text:You are a booking assistant. Use the tools to gather every number you need; do not guess prices. Finish with a one-line answer. Task: Find the cheaper of the two routes Osaka->Bergen->Prague and Osaka->Tunis->Prague (sum the two legs of each), then add 3 hotel nights in Prague. Report the total in USD."
ollama_llama8b/real-healthy-065,0,0,,,-1.596828847482217,-0.9695783239474915,,,354832.01664731017,8.541103057495045,"text:You are a booking assistant. Use the tools to gather every number you need; do not guess prices. Finish with a one-line answer. Task: Find the cheaper of the two routes Osaka->Bergen->Prague and Osaka->Tunis->Prague (sum the two legs of each), then add 3 hotel nights in Prague. Report the total in USD."
ollama_llama8b/real-healthy-072,0,0,,,-1.596828847482217,-0.9695783239474915,,,354832.01664731017,8.541103057495045,"text:You are a booking assistant. Use the tools to gather every number you need; do not guess prices. Finish with a one-line answer. Task: Find the cheaper of the two routes Osaka->Bergen->Prague and Osaka->Tunis->Prague (sum the two legs of each), then add 3 hotel nights in Prague. Report the total in USD."
ollama_llama8b/real-healthy-101,0,0,,,-2.08582544866464,-1.0155807444095881,,,246149.95436876145,0.0,"text:You are a booking assistant. Use the tools to gather every number you need; do not guess prices. Finish with a one-line answer. Task: Find the cheaper of the two routes Osaka->Prague->Bergen and Osaka->Tunis->Bergen (sum the two legs of each), then add 3 hotel nights in Bergen. Report the total in USD."
ollama_llama8b/real-healthy-104,0,0,,,-1.3495529408163742,-1.013949062953354,,,409790.3853215662,0.30294839564324505,"text:You are a booking assistant. Use the tools to gather every number you need; do not guess prices. Finish with a one-line answer. Task: Find the cheaper of the two routes Tunis->Bergen->Cusco and Tunis->Lisbon->Cusco (sum the two legs of each), then add 3 hotel nights in Cusco. Report the total in USD."
ollama_llama8b/real-healthy-111,0,0,,,-1.3495529408163742,-1.013949062953354,,,409790.3853215662,0.30294839564324505,"text:You are a booking assistant. Use the tools to gather every number you need; do not guess prices. Finish with a one-line answer. Task: Find the cheaper of the two routes Tunis->Bergen->Cusco and Tunis->Lisbon->Cusco (sum the two legs of each), then add 3 hotel nights in Cusco. Report the total in USD."
ollama_llama8b/real-healthy-119,0,0,,,-2.3481289844103395,-1.0122715786404075,,,187851.61622312944,0.6144008420642844,"text:You are a booking assistant. Use the tools to gather every number you need; do not guess prices. Finish with a one-line answer. Task: Find the cheaper of the two routes Tunis->Cusco->Lisbon and Tunis->Bergen->Lisbon (sum the two legs of each), then add 3 hotel nights in Lisbon. Report the total in USD."
ollama_llama8b/real-healthy-126,0,0,,,-2.3481289844103395,-1.0122715786404075,,,187851.61622312944,0.6144008420642844,"text:You are a booking assistant. Use the tools to gather every number you need; do not guess prices. Finish with a one-line answer. Task: Find the cheaper of the two routes Tunis->Cusco->Lisbon and Tunis->Bergen->Lisbon (sum the two legs of each), then add 3 hotel nights in Lisbon. Report the total in USD."
ollama_llama8b/real-healthy-133,0,0,,,-2.3481289844103395,-1.0122715786404075,,,187851.61622312944,0.6144008420642844,"text:You are a booking assistant. Use the tools to gather every number you need; do not guess prices. Finish with a one-line answer. Task: Find the cheaper of the two routes Tunis->Cusco->Lisbon and Tunis->Bergen->Lisbon (sum the two legs of each), then add 3 hotel nights in Lisbon. Report the total in USD."
ollama_llama8b/real-tool_cascade-058,0,1,tool_cascade,3.0,-1.678932394860302,-0.9012841875759365,,,336584.07212610485,21.22102839865578,"text:You are a booking assistant. Use the tools to gather every number you need; do not guess prices. Finish with a one-line answer. Task: Find the cheaper of the two routes Osaka->Bergen->Prague and Osaka->Tunis->Prague (sum the two legs of each), then add 3 hotel nights in Prague. Report the total in USD."
ollama_llama8b/real-looping-058,0,1,looping,3.0,-1.0203805567662945,-0.9036462354650829,,,482950.6761235937,20.78247550849729,"text:You are a booking assistant. Use the tools to gather every number you need; do not guess prices. Finish with a one-line answer. Task: Find the cheaper of the two routes Osaka->Bergen->Prague and Osaka->Tunis->Prague (sum the two legs of each), then add 3 hotel nights in Prague. Report the total in USD."
ollama_llama8b/real-goal_drift-048,0,1,goal_drift,2.0,-1.9141474574043942,-0.9914463815476526,,,284306.2893880341,4.4809398801225,"text:You are a booking assistant. Use the tools to gather every number you need; do not guess prices. Finish with a one-line answer. Task: Price a two-city trip: flight Bergen->Cusco, 2 hotel nights in Cusco, flight Cusco->Bergen. Use the calculator for the total."
ollama_llama8b/real-goal_drift-055,0,1,goal_drift,2.0,-1.9141474574043942,-1.0155807444095881,,,284306.2893880341,0.0,"text:You are a booking assistant. Use the tools to gather every number you need; do not guess prices. Finish with a one-line answer. Task: Price a two-city trip: flight Bergen->Cusco, 2 hotel nights in Cusco, flight Cusco->Bergen. Use the calculator for the total."
ollama_llama8b/real-goal_drift-058,0,1,goal_drift,2.0,-0.532432504936374,-0.9833772316844418,,,591399.6928027349,5.979109756310654,"text:You are a booking assistant. Use the tools to gather every number you need; do not guess prices. Finish with a one-line answer. Task: Find the cheaper of the two routes Osaka->Bergen->Prague and Osaka->Tunis->Prague (sum the two legs of each), then add 3 hotel nights in Prague. Report the total in USD."
ollama_llama8b/real-context_corruption-048,0,1,context_corruption,2.0,0.69466133262661,-0.8925133468096974,,,864127.7415318338,22.8494786874194,"text:You are a booking assistant. Use the tools to gather every number you need; do not guess prices. Finish with a one-line answer. Task: Price a two-city trip: flight Bergen->Cusco, 2 hotel nights in Cusco, flight Cusco->Bergen. Use the calculator for the total."
ollama_llama8b/real-context_corruption-055,0,1,context_corruption,2.0,0.4296673453824175,-0.87039314012587,,,805231.4364134057,26.956457473358043,"text:You are a booking assistant. Use the tools to gather every number you need; do not guess prices. Finish with a one-line answer. Task: Price a two-city trip: flight Bergen->Cusco, 2 hotel nights in Cusco, flight Cusco->Bergen. Use the calculator for the total."
ollama_llama8b/real-context_corruption-058,0,1,context_corruption,3.0,-1.7962472407007406,-0.8645875517004565,,,310510.2316311023,28.034360082672112,"text:You are a booking assistant. Use the tools to gather every number you need; do not guess prices. Finish with a one-line answer. Task: Find the cheaper of the two routes Osaka->Bergen->Prague and Osaka->Tunis->Prague (sum the two legs of each), then add 3 hotel nights in Prague. Report the total in USD."
ollama_llama8b/real-healthy-000,1,0,,,-1.8456565948557486,-0.30019964676911903,,,110451.30184776384,4.349080486992452,"text:You are a booking assistant. Use the tools to gather every number you need; do not guess prices. Finish with a one-line answer. Task: Price a two-city trip: flight Cusco->Osaka, 2 hotel nights in Osaka, flight Osaka->Cusco. Use the calculator for the total."
ollama_llama8b/real-healthy-001,1,0,,,33.8181599841393,418.3093847562229,4.0,3.0,2885078.030462167,3359.784592815182,"text:You are a booking assistant. Use the tools to gather every number you need; do not guess prices. Finish with a one-line answer. Task: Compute the total price of item-1, item-3 and item-6 with 8% tax added, using the catalog and the calculator. Report the total."
ollama_llama8b/real-healthy-007,1,0,,,62.499914720374875,1058.1834250759136,4.0,3.0,5116503.911044813,8488.802556815395,"text:You are a booking assistant. Use the tools to gather every number you need; do not guess prices. Finish with a one-line answer. Task: Compute the total price of item-1, item-3 and item-6 with 8% tax added, using the catalog and the calculator. Report the total."
ollama_llama8b/real-healthy-010,1,0,,,70.56563107221962,1060.4080680244722,4.0,3.0,5744012.5268341685,8506.634556439794,"text:You are a booking assistant. Use the tools to gather every number you need; do not guess prices. Finish with a one-line answer. Task: Compute the total price of item-1, item-3 and item-6 with 8% tax added, using the catalog and the calculator. Report the total."
ollama_llama8b/real-healthy-011,1,0,,,84.82713875435901,855.6102308736826,4.0,3.0,6853550.546063143,6865.04305632207,"text:You are a booking assistant. Use the tools to gather every number you need; do not guess prices. Finish with a one-line answer. Task: Compute the total price of item-1, item-3 and item-6 with 8% tax added, using the catalog and the calculator. Report the total."
ollama_llama8b/real-healthy-013,1,0,,,54.70880773070463,1054.1068287464789,4.0,3.0,4510359.763484184,8456.125913463522,"text:You are a booking assistant. Use the tools to gather every number you need; do not guess prices. Finish with a one-line answer. Task: Compute the total price of item-1, item-3 and item-6 with 8% tax added, using the catalog and the calculator. Report the total."
ollama_llama8b/real-healthy-017,1,0,,,57.09706947205777,1065.2147718479791,4.0,3.0,4696165.30809851,8545.163499176833,"text:You are a booking assistant. Use the tools to gather every number you need; do not guess prices. Finish with a one-line answer. Task: Compute the total price of item-1, item-3 and item-6 with 8% tax added, using the catalog and the calculator. Report the total."
ollama_llama8b/real-healthy-020,1,0,,,54.70880773070463,994.0672201739928,4.0,3.0,4510359.763484184,7974.868335384612,"text:You are a booking assistant. Use the tools to gather every number you need; do not guess prices. Finish with a one-line answer. Task: Compute the total price of item-1, item-3 and item-6 with 8% tax added, using the catalog and the calculator. Report the total."
ollama_llama8b/real-healthy-024,1,0,,,57.09706947205777,1004.9518768791296,4.0,3.0,4696165.30809851,8062.116131442614,"text:You are a booking assistant. Use the tools to gather every number you need; do not guess prices. Finish with a one-line answer. Task: Compute the total price of item-1, item-3 and item-6 with 8% tax added, using the catalog and the calculator. Report the total."
